Polymer_Name,Solvent_Name,Solute_Name,Tg_K,Polymer_Xc,CHRIS_Category,Solute_CAS,Solute_InChIKey,Solute_SMILES,solute_MW,solute_ring_count,solute_aromatic_ring_count,solute_rotatable_bond_count
LDPE,carbon tetrachloride,carbon tetrachloride,200.0,0.7,P1,56-23-5,VZGDMQKNWNREIO-UHFFFAOYSA-N,C(Cl)(Cl)(Cl)Cl,153.823,0.0,0.0,0.0
LDPE,cyclohexane,cyclohexane,200.0,0.57,P1,110-82-7,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,84.162,1.0,0.0,0.0
LDPE,cyclohexane,cyclohexane,200.0,0.7,P1,110-82-7,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,84.162,1.0,0.0,0.0
LDPE,decane,decane,200.0,0.7,P1,124-18-5,DIOQZVSQGTUSAI-UHFFFAOYSA-N,CCCCCCCCCC,142.286,0.0,0.0,7.0
LDPE,decane,decane,200.0,0.57,P1,124-18-5,DIOQZVSQGTUSAI-UHFFFAOYSA-N,CCCCCCCCCC,142.286,0.0,0.0,7.0
LDPE,ethylene,ethylene,200.0,0.35,P1,74-85-1,VGGSQFUCUMXWEO-UHFFFAOYSA-N,C=C,28.054,0.0,0.0,0.0
LDPE,ethylene,hexane,200.0,0.35,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,heptane,heptane,200.0,0.45,P1,142-82-5,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,100.205,0.0,0.0,4.0
LDPE,heptane,heptane,200.0,0.35,P1,142-82-5,IMNFDUFMRHMDMM-UHFFFAOYSA-N,CCCCCCC,100.205,0.0,0.0,4.0
LDPE,hexane,hexane,200.0,0.7,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,hexane,hexane,200.0,0.6,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,hexane,hexane,200.0,0.57,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,hexane,hexane,200.0,0.71,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,hexane,hexane,200.0,0.54,P1,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
LDPE,isobutylene,isobutylene,200.0,0.6,P1,115-11-7,VQTUBCCKSQIDNK-UHFFFAOYSA-N,CC(=C)C,56.1,0.0,0.0,0.0
LDPE,octane,octane,200.0,0.7,P1,111-65-9,TVMXDCGIABBOFY-UHFFFAOYSA-N,CCCCCCCC,114.232,0.0,0.0,5.0
LDPE,pentane,pentane,200.0,0.35,P1,109-66-0,OFBQJSOFQDEBGM-UHFFFAOYSA-N,CCCCC,72.151,0.0,0.0,2.0
LDPE,propane,propane,200.0,0.58,P1,74-98-6,ATUOYWHBWRKTHZ-UHFFFAOYSA-N,CCC,44.097,0.0,0.0,0.0
LDPE,tetradecane,tetradecane,200.0,0.57,P1,629-59-4,BGHCVCJVXZWKCC-UHFFFAOYSA-N,CCCCCCCCCCCCCC,198.394,0.0,0.0,11.0
LDPE,toluene,toluene,200.0,0.45,P1,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
LDPE,toluene,toluene,200.0,0.35,P1,108-88-3,YXFVVABEGXRONW-UHFFFAOYSA-N,CC1=CC=CC=C1,92.141,1.0,1.0,0.0
NBR,"2,2-dimethylbutane",22 dimethylbutane,230.0,0.0,R2,75-83-2,HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C,86.178,0.0,0.0,0.0
NBR,cyclohexane,cyclohexane,230.0,0.0,R2,110-82-7,XDTMQSROBMDMFD-UHFFFAOYSA-N,C1CCCCC1,84.162,1.0,0.0,0.0
NBR,decane,decane,230.0,0.0,R2,124-18-5,DIOQZVSQGTUSAI-UHFFFAOYSA-N,CCCCCCCCCC,142.286,0.0,0.0,7.0
NBR,dichloromethane,dichloromethane,230.0,0.0,R2,75-09-2,YMWUJEATGCHHMB-UHFFFAOYSA-N,C(Cl)Cl,84.933,0.0,0.0,0.0
NBR,hexane,hexane,230.0,0.0,R2,110-54-3,VLKZOEOYAKHREP-UHFFFAOYSA-N,CCCCCC,86.178,0.0,0.0,3.0
